Team,Self-Creation,Create for Others,Basket Cuts,Movement Shooting,OREB,Ball Control,Drawing Doubles,Advantage PTS Created,DEF PTS Saved,PTS Created,Self-Creation Rk,Create for Others Rk,Basket Cuts Rk,Movement Shooting Rk,OREB Rk,Ball Control Rk,Drawing Doubles Rk,Advantage PTS Created Rk,DEF PTS Saved Rk,PTS Created Rk
BOS,1.4,1.8,0.2,0.7,0.9,0.4,0.1,2.5,0.9,3.4,3,2,25,2,9,2,15,1,3,1
OKC,1.2,1.4,0.3,0.4,0.8,0.4,0.1,1.5,1.5,3,8,13,12,14,18,1,17,8,1,2
GSW,1,1.7,0.4,0.9,1,0,0,2.2,0.7,2.9,16,3,1,1,3,25,30,2,8,3
CLE,1.2,1.6,0.3,0.6,0.9,0.3,0,1.9,0.7,2.6,7,6,6,4,13,4,25,3,7,4
LAC,1.3,1.4,0.2,0.3,0.8,0,0.2,1.3,1,2.3,4,10,17,17,20,26,2,12,2,5
MIN,1.1,1.3,0.2,0.3,0.9,0,0.2,1.1,0.9,2,12,15,24,18,15,18,5,16,4,6
NYK,1.2,1.4,0.3,0.5,0.8,0.3,0.1,1.6,0.2,1.8,5,12,5,9,23,3,8,6,11,7
MEM,1.1,1.3,0.3,0.5,1,0,0.1,1.3,0.4,1.7,13,16,14,8,7,20,7,11,9,8
DEN,1,1.6,0.4,0.4,0.9,0.1,0.2,1.7,-0.1,1.6,17,4,3,11,14,8,3,4,16,9
SAC,1.1,1.4,0.3,0.5,0.9,0.2,0.2,1.6,-0.1,1.5,11,11,9,5,16,7,4,7,17,10
MIL,1.4,1.5,0.2,0.3,0.7,0,0.3,1.5,-0.2,1.3,1,8,26,19,29,19,1,9,19,13
IND,1.4,1.3,0.3,0.3,0.7,0.2,0.2,1.4,-0.1,1.3,2,14,7,21,30,5,6,10,15,12
LAL,1.2,1.6,0.3,0.3,0.7,0.1,0.1,1.3,0,1.3,10,7,10,20,28,9,10,13,14,11
DET,0.7,1.3,0.3,0.5,0.9,0.1,0.1,0.9,0.3,1.2,30,21,13,6,12,14,14,20,10,16
HOU,0.8,0.9,0.2,0.2,1,0.2,0,0.4,0.7,1.2,26,29,28,26,1,6,28,26,6,15
ORL,0.8,1.1,0.2,0.1,0.9,0.1,0.1,0.3,0.9,1.2,28,25,19,30,10,12,9,27,5,14
DAL,1,1.3,0.2,0.4,0.9,0,0.1,1,0,1.1,19,17,21,10,17,17,16,17,12,17
PHX,1.1,1.9,0.3,0.6,0.8,-0.1,0.1,1.7,-0.7,1,14,1,11,3,26,29,13,5,25,18
MIA,1,1.3,0.2,0.4,0.8,0.1,0.1,0.9,0,0.9,20,19,20,12,25,13,11,19,13,19
ATL,0.9,1.6,0.3,0.3,1,0,0,1.1,-0.4,0.7,23,5,4,24,6,23,27,15,22,20
SAS,1.2,1.4,0.2,0.3,0.8,0.1,0.1,1.1,-0.5,0.6,9,9,15,23,19,10,19,14,23,21
TOR,0.7,1.3,0.4,0.1,1,0,0.1,0.6,-0.1,0.5,29,22,2,29,5,16,18,23,18,22
CHI,1,1.3,0.3,0.2,0.8,0,0.1,0.7,-0.4,0.3,15,23,8,28,21,21,20,22,21,23
BKN,0.8,1.1,0.2,0.4,0.9,0,0,0.6,-0.6,0,25,26,18,16,8,15,23,25,24,24
POR,0.8,1,0.2,0.3,1,-0.1,0.1,0.3,-0.4,-0.1,24,27,27,22,2,27,22,29,20,25
NOP,1,1.2,0.2,0.4,1,0,0.1,0.9,-1.1,-0.2,18,24,23,13,4,22,21,18,29,26
CHA,0.9,1.3,0.2,0.5,0.8,0,0,0.7,-0.9,-0.2,21,18,30,7,24,24,26,21,28,27
PHI,1.2,0.9,0.2,0.2,0.8,0.1,0.1,0.6,-0.9,-0.3,6,30,29,27,22,11,12,24,27,28
WAS,0.9,1,0.2,0.2,0.7,-0.1,0,0.1,-0.8,-0.8,22,28,16,25,27,28,29,30,26,29
UTA,0.8,1.3,0.2,0.4,0.9,-0.3,0,0.3,-1.5,-1.1,27,20,22,15,11,30,24,28,30,30
